ZoneName,LengthM,SiteCode,DateStart,DateFinish,ZoneDescription,Comments,Comments2,RoadType,RCACScore,RoadWidthM,LRoadWidth,RRoadWidth,WidthVarie,RCACWidth,RCACTreesW,RCACTreesS,RCACGround,RCACGrassl,RCACLeafLi,RCACLogs,RCACRocksC,RCACWetlan,RCACMaxFau,RCACRegene,RCACWildli,RCACWeedCo,RCACSiteDi,RCACRareSp,HollowTree,LargeOldTree,Trees,LogsWoodyD,GroundFlor,Mistletoe,Shrubs,BioticSoil,LeafMulchL,Rocks,CracksCrev,Wetland,Disturbanc,Regenerati,Weeds,Powerline,BiomassRed,AdjoiningL,AdjoiningV,PowerlineD,CanopyCont,OverallFue,GroundFuel,ElevatedFu,BarkHazard,Majorweeds,Locality,LandFormLS,LandForm00,SoilType,EVCCode,EVCNotes,EVCSource,Origin,Recommenda
thomas road (haddon),7,g083c,17/09/2014,17/09/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise lcv",,18,4.0,0-5,,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
thomas road (haddon),6,g083c,17/09/2014,17/09/2014,woodland with patchy native grass understorey,,,,15,4.0,0-5,,0,1,0,2,2,0,2,0,0,0,5,1,2,2,4,0,0,0,0.0,0,29,0,24,2,2,0,0,0,3,2,3,0,289,,i+e,,none,,,,,,,,,,47,47,survey,,
thomas road (haddon),1,g083c,17/09/2014,17/09/2014,cleared under powerlines,,,,5,4.0,,0-5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0.0,0,29,0,0,0,0,0,0,0,2,1,1,1,298,,i+e,,none,,,,,,,,,,47,47,survey,,
doble road,1,g264,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,10,5.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,1,0,2,2,0,0,0,16.0,0,29,0,16,1,0,0,0,0,2,2,3,0,298,,en,,none,,,,,,,,,,47,47,survey,,
doble road,9,g264,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,9,5.0,0-5,,0,1,0,2,2,0,1,0,0,0,5,0,0,1,2,0,0,0,16.0,0,29,0,16,1,1,0,0,0,2,1,2,0,298,,e,,none,,,,,,,,,,47,47,survey,,
doble road,1,g264,18/09/2014,18/09/2014,cleared under powerlines,,,,3,4.0,,0-5,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,1,298,,e,,none,,,,,,,,,,47,47,survey,,
anne court,4,g024,18/09/2014,18/09/2014,dominated by planted and spreading environmental weeds,,,,7,4.0,0-5,,0,1,0,1,2,0,0,0,0,0,3,0,0,1,2,0,0,0,0.0,0,29,0,16,0,0,0,0,0,2,1,2,0,289,,e,,none,,,,,,,,,,47,47,survey,,
anne court,4,g024,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,7,4.0,,0-5,0,1,0,1,2,0,0,0,0,0,3,0,0,1,2,0,0,0,0.0,0,29,0,16,0,0,0,0,0,2,1,2,1,289,,e,,none,,,,,,,,,,47,47,survey,,
james court,5,g272,18/09/2014,18/09/2014,cleared under powerlines,,,,8,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,0,0,1,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,1,2,1,298,,e,,none,,,,,,,,,,47,47,survey,,
james court,5,g272,18/09/2014,18/09/2014,cleared under powerlines,,,,11,4.0,,0-5,0,1,1,2,2,0,1,0,0,0,5,1,0,2,2,0,0,1,16.0,0,29,0,16,0,1,0,0,0,2,2,3,1,298,,e,306.0,sparse,,,,,,,,,,47,47,survey,,
waddell road,8,g087,18/09/2014,18/09/2014,cleared under powerlines,,"roadside only scores hcv due to listed species presence, otherwise mcv",,24,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,1,0,1,2,1,0,0,16.0,0,29,0,16,0,0,0,0,0,2,2,2,1,298,,e,,none,,,,,,,,,,47,47,survey,,
waddell road,8,g087,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,"roadside only scores hcv due to listed species presence, otherwise mcv",,26,4.0,,0-5,0,1,0,2,2,0,1,0,0,0,5,1,1,1,2,1,0,0,18.0,0,29,0,23,1,1,0,0,0,2,2,2,0,298,,e,,none,,,,,,,,,,47,47,survey,,
waddell road,8,g087,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,7,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,0,0,0,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,1,1,1,298,,e,307.0,none,,,,,,,,,,47,47,survey,,
waddell road,3,g087,18/09/2014,18/09/2014,woodland with patchy native grass understorey,,,,12,4.0,,0-5,0,1,1,2,2,0,2,0,0,0,5,2,1,1,2,0,0,1,18.0,0,29,0,23,1,2,0,0,0,2,3,2,1,298,,e,307.0,patchy,,,,,,,,,,47,47,survey,,
waddell road,5,g087,18/09/2014,18/09/2014,cleared under powerlines,,,,3,4.0,,0-5,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
mountain view court,9,g288,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,6,4.0,0-5,0-5,0,1,0,2,1,0,1,0,0,0,4,1,0,0,0,0,0,0,16.0,0,28,0,16,0,1,0,0,0,1,2,1,0,289,,e,,patchy,,,,,,,,,,47,47,survey,,
kennedys road,1,g083a,18/09/2014,18/09/2014,forest,,,,12,4.0,0-5,,0,1,1,2,2,0,1,0,0,0,5,0,2,0,4,0,0,1,20.0,0,29,0,24,1,1,0,0,0,3,1,1,0,298,,e,,continuous,,,,,,,,,,47,47,survey,,
kennedys road,9,g083a,18/09/2014,18/09/2014,forest,,,,15,4.0,0-5,,0,1,1,2,2,0,2,1,0,0,5,1,2,2,4,0,0,1,20.0,1,32,0,24,2,2,0,0,0,3,2,3,0,300,,i+e,,continuous,,,,,,,,,,286,20/22,survey,,
kennedys road,4,g083a,18/09/2014,18/09/2014,forest,,,,15,4.0,0-5,,0,1,1,2,2,0,2,0,0,0,5,1,2,2,4,0,0,1,18.0,0,29,0,23,2,2,0,0,0,3,2,3,0,289,,e,,patchy,,,,,,,,,,265,47>22/20,survey,,
kennedys road,1,g083a,18/09/2014,18/09/2014,forest,,,,15,4.0,,0-5,0,1,1,2,2,0,2,0,0,0,5,1,2,2,4,0,0,1,18.0,0,29,0,23,2,2,0,0,0,3,2,3,0,289,,e,,patchy,,,,,,,,,,286,22/20>[47]>22/20,survey,,
kennedys road,1,g083a,18/09/2014,18/09/2014,forest,,,,10,4.0,,0-5,0,1,0,2,2,0,0,0,0,0,4,1,2,0,2,0,0,0,16.0,0,29,0,23,0,0,0,0,0,2,2,1,0,289,,e,,patchy,,,,,,,,,,47,47,survey,,
finchs road,7,g083,18/09/2014,18/09/2014,woodland with patchy native grass understorey,,hcv roadside converted to very high status due to listed species presence,,30,5.0,0-5,,0,1,1,2,2,0,1,1,0,0,5,2,2,1,4,1,0,1,18.0,1,29,0,24,1,1,0,0,0,3,3,2,0,289,,i+e,,patchy,,,,,,,,,,265,47>22/20,survey,,
finchs road,4,g083,18/09/2014,18/09/2014,woodland with weedy grassy understorey,,,,12,4.0,0-5,,0,1,0,2,2,0,1,0,0,0,5,1,2,1,2,0,0,0,18.0,0,29,0,23,1,1,0,0,0,2,2,2,0,289,,i+e,,none,,,,,,,,,,47,47,survey,,
finchs road,3,g083,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,3,4.0,,,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0,29,0,16,0,0,0,0,0,1,1,1,0,289,,i+e,,none,,,,,,,,,,47,47,survey,,
finchs road,7,g083,18/09/2014,18/09/2014,cleared under powerlines,,,,5,4.0,,0-5,0,1,0,1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0.0,0,29,0,16,0,0,0,0,0,1,1,2,1,289,,i+e,,none,,,,,,,,,,47,47,survey,,
finchs road,8,g083,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,10,4.0,,0-5,1,1,0,2,2,0,0,0,0,0,4,1,0,2,2,0,0,0,16.0,0,29,0,23,0,0,0,0,0,2,2,3,1,300,,i+e,306.0,sparse,,,,,,,,,,47,47>[22/20]>47,survey,,
kennedys road,8,g083a,18/09/2014,18/09/2014,woodland with weedy grassy understorey,,,,10,4.0,0-5,,0,1,0,2,2,0,1,0,0,0,5,1,1,0,2,0,0,0,18.0,0,29,0,23,0,1,0,0,0,2,2,1,0,289,,i+e,,patchy,,,,,,,,,,47,47,survey,,
kennedys road,7,g083a,18/09/2014,18/09/2014,woodland with weedy grassy understorey,,,,10,4.0,,0-5,0,1,0,2,2,0,1,0,0,0,5,1,1,0,2,0,0,0,18.0,0,29,0,23,0,1,0,0,0,2,2,1,1,289,,i+e,306.0,patchy,,,,,,,,,,47,47,survey,,
kennedys road,1,g083a,18/09/2014,18/09/2014,cleared under powerlines,,,,3,4.0,,0-5,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,28,0,16,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
duke court,3,g265,18/09/2014,18/09/2014,cleared with occasional trees and/or shrubs,,,,4,4.0,0-5,0-5,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,16.0,0,28,0,16,0,0,0,0,0,1,1,1,1,289,,e,307.0,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",9,g086a,23/09/2014,23/09/2014,cleared under powerlines,,,,5,4.0,0-5,,0,1,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,11,1,1,1,1,298,,e,,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",3,g086a,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,7,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,0,0,0,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,1,1,0,289,,i+e,,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",3,g086a,23/09/2014,23/09/2014,pasture grasses and weeds,,,,2,4.0,0-5,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,0,298,,e,,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",5,g086a,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,9,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,1,0,1,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,2,2,0,289,,e,,sparse,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",2,g086a,23/09/2014,23/09/2014,pasture grasses and weeds,,,,2,4.0,0-5,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,28,0,0,0,0,0,0,0,1,1,1,0,298,,sb,,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",5,g086a,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,8,4.0,,0-5,0,1,0,1,2,0,0,0,0,0,3,1,0,1,2,0,0,0,0.0,0,29,0,16,0,0,0,0,0,2,2,2,1,298,,e,,none,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",1,g086a,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,11,4.0,,0-5,0,1,1,2,2,0,1,0,0,0,5,2,0,1,2,0,0,1,16.0,0,29,0,23,1,1,0,0,0,2,3,2,0,298,,e,,patchy,,,,,,,,,,47,47,survey,,
"hendersons road, smythes creek",9,g086a,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,8,4.0,,0-5,0,1,0,2,2,0,0,0,0,0,4,1,0,0,2,0,0,0,16.0,0,29,0,16,0,0,0,0,0,2,2,1,0,289,,e,,sparse,,,,,,,,,,47,47,survey,,
loren road,9,g277,23/09/2014,23/09/2014,cleared under powerlines,,,,3,4.0,0-5,,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,0,1,1,1,1,298,,e,,none,,,,,,,,,,47,47,survey,,
loren road,1,g277,23/09/2014,23/09/2014,pasture grasses and weeds,,,,4,4.0,,0-5,0,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0,29,0,16,0,0,0,0,0,1,1,1,1,298,,e,306.0,none,,,,,,,,,,47,47,survey,,
bells road,1,g110,23/09/2014,23/09/2014,woodland with patchy native grass understorey,,,,17,20.0,20+,,1,3,1,2,2,0,2,1,0,0,5,1,2,2,4,0,0,1,19.0,1,29,0,24,2,2,0,0,0,3,2,3,0,289,,i,,continuous,,,,,,,,,,265,47>22>47,survey,,
bells road,3,g110,23/09/2014,23/09/2014,woodland with weedy grassy understorey,,,,11,4.0,0-5,,0,1,0,2,2,0,0,0,0,0,4,1,2,1,2,0,0,0,18.0,0,50,0,23,0,0,0,0,0,2,2,2,0,298,,i+e,,patchy,,,,,,,,,,3,3,survey,,
kopkes road,5,g069,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,10,10.0,Jun-20,,0,2,0,1,2,0,0,0,0,0,3,0,1,2,2,0,0,0,0.0,0,29,0,16,0,0,0,0,0,2,1,3,1,289,,i+e,,none,,,,,,,,,,719,3>175,survey,,
kopkes road,5,g069,23/09/2014,23/09/2014,scattered wattles and a mainly native grass groundlayer,,,,17,20.0,20+,,0,3,0,1,2,4,0,0,0,0,3,0,0,3,4,0,0,0,0.0,0,30,0,16,3,0,0,0,0,3,1,4,0,289,,e,,none,,,,,,,,,,2223,2223,survey,,
kopkes road,1,g069,23/09/2014,23/09/2014,cleared with occasional trees and/or shrubs,,,,14,20.0,20+,,0,3,0,1,2,1,0,0,0,0,3,1,1,1,4,0,0,0,0.0,0,29,0,16,1,0,0,0,0,3,2,2,0,289,,e,,none,,,,,,,,,,2223,2223,survey,,
butterworth road,7,g097,23/09/2014,23/09/2014,forest,,"roadside only scores hcv due to listed species presence, otherwise mcv",,29,4.0,0-5,,1,1,0,2,2,0,1,0,0,1,5,1,2,1,4,1,0,0,20.0,0,29,1,24,1,1,0,0,1,3,2,2,0,300,,i+e,,patchy,,,,,,,,,,47,47,survey,,
butterworth road,5,g097,23/09/2014,23/09/2014,forest,,,,15,4.0,0-5,,1,1,0,2,2,0,2,0,0,0,5,1,2,2,4,0,0,0,20.0,0,50,0,24,2,3,0,0,0,3,2,3,0,300,,i+e,,continuous,,,,,,,,,,286,20/22,survey,,
butterworth road,6,g097,23/09/2014,23/09/2014,forest,,hcv roadside converted to very high status due to listed species presence,,31,15.0,,Jun-20,1,2,0,2,2,0,2,2,0,0,5,1,2,2,4,1,0,0,20.0,2,32,0,24,2,3,0,0,0,3,2,3,0,300,,i+e,,continuous,,,,,,,,,,286,20/22,survey,,
butterworth road,6,g097,23/09/2014,23/09/2014,forest,,"roadside only scores hcv due to listed species presence, otherwise mcv",,28,10.0,,Jun-20,1,0,1,0,2,0,2,2,0,0,5,1,2,1,4,1,0,1,20.0,2,29,0,24,2,2,0,0,0,3,2,2,0,300,,i+e,,continuous,,,,,,,,,,47,47,survey,,
kirkwood drive,9,g273,24/09/2014,24/09/2014,woodland with patchy native grass understorey,,,,15,4.0,0-5,,0,1,2,2,2,0,2,1,0,0,5,1,3,1,4,0,0,2,20.0,1,50,1,24,2,2,0,0,0,3,2,2,0,289,,i+e,,patchy,,,,,,,,,,47,47>[22/20],survey,,
kirkwood drive,9,g273,24/09/2014,24/09/2014,woodland with patchy native grass understorey,,,,15,4.0,,0-5,0,1,2,2,2,0,2,1,0,0,5,1,3,1,4,0,0,2,20.0,1,50,1,24,2,2,0,0,0,3,2,2,0,289,,i+e,,patchy,,,,,,,,,,47,[22/20]>47,survey,,
post office road,4,g089,24/09/2014,24/09/2014,forest,,,,16,4.0,0-5,,0,1,0,2,2,0,2,1,0,0,5,1,3,2,4,0,0,0,20.0,1,32,0,24,2,2,0,0,0,3,2,3,0,289,,i+e,,continuous,,,,,,,,,,286,22/20,survey,,
post office road,1,g089,24/09/2014,24/09/2014,dominated by planted and spreading environmental weeds,,,,11,4.0,0-5,,0,1,0,2,2,0,1,0,0,0,5,1,1,1,2,0,0,0,16.0,0,29,0,16,1,1,0,0,0,2,2,2,0,300,,i,,none,,,,,,,,,,286,20/22,survey,,
post office road,4,g089,24/09/2014,24/09/2014,woodland with patchy native grass understorey,,,,16,4.0,0-5,,0,1,0,2,2,0,2,0,0,0,5,2,2,2,4,0,0,0,18.0,0,32,0,23,2,2,0,0,0,3,3,3,0,300,,i,,patchy,,,,,,,,,,286,22/20,survey,,
post office road,4,g089,24/09/2014,24/09/2014,woodland with weedy grassy understorey,,,,14,4.0,0-5,,0,1,0,2,2,0,2,0,0,0,5,1,2,1,4,0,0,0,20.0,0,29,1,23,2,2,0,0,0,3,2,2,0,289,,e,,patchy,,,,,,,,,,47,47,survey,,
post office road,2,g089,24/09/2014,24/09/2014,pasture grasses and weeds,,,,4,4.0,0-5,,0,1,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0.0,0,29,0,0,0,0,0,0,1,1,1,1,0,300,,e,,none,,,,,,,,,,47,47,survey,,
post office road,2,g089,24/09/2014,24/09/2014,pasture grasses and weeds,,,,5,4.0,,0-5,0,1,0,1,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0.0,0,29,0,16,0,0,0,0,1,1,1,1,0,300,,e,,none,,,,,,,,,,47,47,survey,,
post office road,3,g089,24/09/2014,24/09/2014,woodland with weedy grassy understorey,,,,13,4.0,,0-5,0,1,1,2,2,0,0,0,0,0,5,1,2,0,4,0,0,1,18.0,0,29,1,23,1,0,0,0,0,3,2,1,0,289,,i+e,,patchy,,,,,,,,,,47,47,survey,,
post office road,1,g089,24/09/2014,24/09/2014,forest,,,,15,4.0,,0-5,0,1,1,2,2,0,2,0,0,0,5,1,2,2,4,0,0,1,,0,32,0,23,2,2,0,0,0,3,2,3,0,289,,i+e,,patchy,,,,,,,,,,286,22/20,survey,,
stuart court,2,g308,24/09/2014,24/09/2014,cleared with occasional trees and/or shrubs,,,,12,4.0,0-5,,0,1,0,2,2,0,1,0,0,0,5,2,0,2,2,0,0,0,16.0,0,32,0,16,1,1,0,0,0,2,3,3,0,300,,i,,sparse,,,,,,,,,,20,20,survey,,
stuart court,2,g308,24/09/2014,24/09/2014,cleared with occasional trees and/or shrubs,,,,12,4.0,,0-5,0,1,0,2,2,0,1,0,0,0,5,2,0,2,2,0,0,0,16.0,0,32,0,16,1,1,0,0,0,2,3,3,1,300,,i,,sparse,,,,,,,,,,20,20,survey,,
owen court,1,g297,24/09/2014,24/09/2014,cleared with occasional trees and/or shrubs,,,,11,4.0,0-5,,0,1,0,2,2,0,2,0,0,0,5,1,0,2,2,0,0,0,16.0,0,29,0,23,2,2,0,0,0,2,2,3,0,289,,i+e,,patchy,,,,,,,,,,47,[22/20]>47,survey,,
owen court,2,g297,24/09/2014,24/09/2014,cleared with occasional trees and/or shrubs,,,,11,4.0,,0-5,0,1,0,2,2,0,2,0,0,0,5,1,0,2,2,0,0,0,16.0,0,29,0,23,2,2,0,0,0,2,2,3,1,289,,i+e,,patchy,,,,,,,,,,47,[22/20]>47,survey,,
allen court,2,g095,24/09/2014,24/09/2014,cleared with occasional trees and/or shrubs,,,,10,4.0,,0-5,0,1,0,0,2,0,2,0,0,0,5,0,0,2,2,0,0,0,16.0,0,29,0,16,2,2,0,0,0,2,1,3,1,298,,e,,none,,,,,,,,,,47,47,survey,,
